Garage_Cars,Gr_Liv_Area,Year_Built,Total_Bsmt_SF,Fireplace_Qu_No_Fireplace,First_Flr_SF,Lot_Area,Year_Remod_Add,Latitude,Longitude
2,1567,1977,1567,0,1567,9819,1977,41.991493,-93.599866
2,2362,1980,2002,0,2362,12000,1980,42.044762,-93.645798
1,999,1962,999,1,999,7758,2001,42.035857,-93.673889
1,960,1959,960,1,960,6400,2000,42.018965,-93.665737
0,3395,1914,1440,1,1440,10896,1995,42.01902,-93.650162
2,1224,2009,612,1,612,3951,2009,42.048416,-93.646316
2,1044,1976,960,0,1044,6285,1976,42.0196959,-93.6747048
2,1120,1961,1040,1,1120,6970,1961,42.034532,-93.669559
3,1668,2002,1626,0,1668,11248,2002,42.018017,-93.679805
2,912,1965,912,1,912,8872,2008,42.0471033,-93.6261431
2,1211,1962,864,0,1211,9240,2002,42.035302,-93.675723
2,1539,1936,927,1,1067,6120,1950,42.03252,-93.623645
2,1452,1999,691,1,713,3735,1999,42.046431,-93.645482
3,1736,2008,1736,0,1736,11578,2008,42.062108,-93.654437
3,1922,2002,1922,0,1922,11305,2002,41.995508,-93.646894
1,1440,1900,540,1,889,5000,1950,42.029281,-93.615365
2,1492,2001,1492,0,1492,11166,2001,42.015713,-93.688628
0,1092,2007,1092,1,1092,9278,2008,41.990054,-93.610145
2,1456,2005,728,0,728,8461,2006,42.013519,-93.684332
3,2018,2008,2002,0,2018,13214,2009,41.992989,-93.652495
0,2229,1912,755,1,929,5520,1950,42.027039,-93.621635
2,1042,1965,1042,1,1042,9200,1965,42.040143,-93.630023
3,2214,1999,1090,0,1090,10566,1999,42.016904,-93.683718
2,1482,1954,954,0,1482,16012,1968,42.017727,-93.661995
2,1482,1920,650,1,832,9000,1988,42.028556,-93.610044
1,1248,1930,912,1,912,9439,1950,42.0268089,-93.6047622
3,1978,2007,1978,0,1978,12633,2007,41.992964,-93.651703
1,884,1939,884,1,884,6120,1950,42.032399,-93.623643
2,1500,2006,1489,0,1500,8760,2006,42.025156,-93.688923
2,1682,1970,1304,0,1682,10400,1970,42.047928,-93.635095
2,1308,1997,635,1,646,10021,2006,42.020966,-93.690402
2,1200,1965,864,1,1200,9230,1998,42.045685,-93.624612
1,1636,1919,818,0,818,9399,1950,42.016941,-93.64644
2,1350,1964,1248,1,1350,9020,1964,42.041811,-93.626171
2,1040,1949,0,1,1040,7200,1950,42.035841,-93.608903
2,1501,1987,1501,0,1501,4054,1987,42.005692,-93.63966
1,995,1925,960,1,995,6120,1999,42.032375,-93.622565
2,1680,2004,840,1,840,3515,2004,42.048086,-93.64614
2,1716,1996,880,0,909,8750,1996,42.017856,-93.680782
0,914,2002,914,1,914,8050,2002,42.021168,-93.671304
2,2267,1937,1005,0,1262,12888,1980,42.033524,-93.655699
2,1720,2004,860,1,860,11645,2004,42.01397,-93.685369
1,1182,1945,770,1,885,9576,1950,42.030368,-93.608938
1,987,1970,483,1,483,1869,1970,42.052332,-93.629462
2,1848,2000,975,0,975,7379,2000,42.04638,-93.643556
2,1384,1997,384,0,754,8872,1997,42.061242,-93.637189
1,1479,1926,624,0,743,7000,1997,42.019093,-93.646619
2,1494,1998,1482,0,1494,16196,1998,42.035071,-93.689449
2,1054,1963,936,1,1054,8800,1963,42.040391,-93.625728
1,1440,1959,1248,1,1440,9840,1998,42.044791,-93.617544
1,1150,1955,1078,1,1150,9600,1955,42.0362,-93.623704
2,2495,1890,1313,0,1313,10800,1999,42.0273991,-93.6075521
2,1646,2004,1594,0,1646,3842,2005,42.0091899,-93.615921
2,1382,1941,720,1,854,12358,1950,42.026723,-93.622793
2,1964,1976,803,0,1098,10480,1976,42.04986,-93.6341769
1,999,1962,925,1,999,10205,1962,42.03548,-93.605839
2,1488,1952,0,0,1488,12048,2002,42.025846,-93.666255
2,2158,1950,1202,0,2158,12615,2001,42.028236,-93.663415
2,1128,1920,698,1,698,7500,1950,42.021456,-93.615272
2,1294,2006,1286,0,1294,6762,2006,42.024615,-93.691234
2,2049,1996,1065,0,1065,21533,1997,42.01869,-93.679147
2,948,1952,948,1,948,10950,1952,42.040451,-93.615622
2,1488,1968,1488,0,1488,21579,1968,42.011506,-93.641849
2,1456,1976,855,0,855,2280,1976,42.050705,-93.624748
2,2411,1970,1008,0,1403,8000,1970,42.047758,-93.635094
0,990,1994,990,1,990,8070,1995,42.019028,-93.692415
1,896,1961,882,1,896,11622,1961,42.053014,-93.619756
2,1845,1992,1055,0,1055,11218,1992,42.036659,-93.687694
1,990,1994,990,1,990,8775,1994,42.021324,-93.692069
2,2138,1898,849,1,1075,8100,1965,42.028957,-93.613887
2,1558,1975,864,1,1558,14330,2001,42.02107,-93.6844
2,2149,2003,1434,0,1518,12822,2003,41.996672,-93.607252
3,2649,2001,1479,0,1515,16900,2002,42.057028,-93.655587
2,1005,1955,1005,0,1005,10434,1955,42.038398,-93.6124
