Garage_Cars,Year_Built,Gr_Liv_Area,Total_Bsmt_SF,First_Flr_SF,Wood_Deck_SF,Fireplace_Qu_No_Fireplace,Garage_Area,Second_Flr_SF,Lot_Area
2,1996,1553,691,691,0,1,420,862,7875
1,1910,899,481,899,0,1,200,0,6756
3,1916,1344,624,624,0,1,513,720,4571
1,1968,890,890,890,0,1,308,0,8450
1,1941,2133,1528,1225,0,0,312,908,10452
1,1950,1328,768,768,0,1,308,560,6000
3,2003,2392,2392,2392,248,0,968,0,13472
2,2004,2084,956,956,0,1,618,1128,10142
1,1956,1024,1008,1024,0,0,313,0,10533
1,1963,1040,1040,1040,0,1,308,0,7500
0,1961,1800,1800,1800,0,1,0,0,8000
2,1963,1728,1728,1728,0,1,504,0,9100
2,2007,1456,728,728,100,0,400,728,9018
1,1962,864,864,864,0,1,336,0,7000
2,1998,1463,1463,1463,0,1,539,0,14753
3,2006,2172,1063,1071,192,0,947,1101,14154
1,1953,1210,0,1210,208,1,616,0,9533
3,2008,1766,1751,1766,216,0,874,0,11778
1,1954,1056,1056,1056,390,1,260,0,9250
2,1910,1760,1077,981,120,0,648,779,10818
2,1900,1445,676,831,0,1,484,614,14235
2,1954,894,894,894,0,1,400,0,9450
2,1920,1196,684,684,0,1,528,512,12354
1,1920,1738,715,1281,55,0,368,457,12513
3,2003,2200,2200,2200,208,0,685,0,15262
0,1962,1728,1728,1728,0,1,0,0,13260
1,1955,827,0,827,0,0,392,0,7200
2,2004,1948,847,847,100,0,434,1101,12393
3,2008,1254,1254,1254,168,1,810,0,10324
2,2004,848,848,848,140,1,420,0,4426
2,1992,1759,1449,944,150,0,525,815,16698
1,1961,1029,1029,1029,64,1,261,0,7943
1,1938,1374,884,932,64,1,225,442,9260
1,1925,995,960,995,0,1,264,0,6120
2,2008,1652,1600,1652,162,0,482,0,5587
3,2006,2550,1108,1148,120,0,670,1402,13440
2,1969,1336,1288,1336,312,0,502,0,9600
1,1970,1092,546,546,0,1,286,546,1533
2,2006,1394,384,754,100,1,400,640,9735
3,1995,2794,1462,1490,0,0,810,1304,15138
2,1968,2110,2110,2110,0,0,522,0,11160
1,1946,407,407,407,76,1,297,0,7311
2,1936,1466,796,1096,436,0,566,370,10800
2,1916,2134,844,1445,0,1,441,689,11888
3,2004,2473,1143,1143,192,0,852,1330,9591
1,1951,1480,1080,1080,0,0,253,400,11100
2,1977,1212,506,1212,292,0,492,0,8471
3,2008,1694,1694,1694,160,1,776,0,10475
1,1978,1152,1152,1152,0,1,252,0,10547
1,1947,1216,832,832,158,1,336,384,8480
3,2006,1634,1626,1634,0,0,866,0,11428
1,1967,1214,1214,1214,0,0,318,0,10355
1,1920,1513,939,939,24,1,180,574,6120
1,1977,1475,757,925,104,0,336,550,2665
3,1992,2225,1390,1402,198,0,713,823,11134
1,1973,1218,672,672,144,1,264,546,1890
2,1991,1217,1217,1217,0,1,484,0,7175
1,1960,958,958,958,0,1,301,0,12772
1,1963,1068,1059,1068,192,1,264,0,8414
1,1935,1242,583,647,329,0,180,595,5707
0,1920,1406,319,1035,0,1,0,371,7920
3,1998,2385,1066,1108,120,0,600,1277,10790
2,2004,2522,2208,2522,182,0,564,0,7296
2,2006,1250,625,625,0,1,528,625,4251
0,1975,864,864,864,0,1,0,0,9350
1,1972,864,864,864,0,0,338,0,15523
2,1972,1479,725,725,0,1,484,754,7472
0,1971,1218,672,672,201,1,0,546,1680
2,2003,1626,764,764,0,1,474,862,2628
2,1992,1575,1575,1575,0,1,529,0,8012
2,1959,1188,1188,1188,0,1,531,0,12160
1,1958,1524,874,874,0,1,315,650,11344
1,1945,1340,780,816,0,1,440,524,6430
1,1920,1344,672,672,0,1,468,672,10690
0,1938,1053,585,585,42,1,0,468,12180
2,2005,1090,1090,1090,0,1,450,0,7024
2,1976,1456,855,855,87,0,440,601,2280
2,2005,1142,1142,1142,90,1,440,0,3010
2,1975,1040,1040,1040,0,1,499,0,4224
2,2004,1500,1500,1500,192,1,570,0,8487
1,1953,1609,1000,1068,0,1,305,541,9525
2,1931,1774,952,1022,90,0,468,752,6120
2,1953,2259,1809,2259,166,0,450,0,21000
2,1977,1009,995,1009,0,0,576,0,9720
1,1938,1251,827,827,0,1,240,424,6900
2,1934,1176,816,816,112,0,528,0,6240
2,1964,1445,1127,1445,180,0,645,0,12095
1,1949,1523,1067,986,0,0,295,537,15600
2,1967,894,894,894,0,1,450,0,9764
2,1928,784,784,784,0,1,360,0,9000
2,1965,1264,1068,1264,0,0,528,0,15300
3,2008,1641,1641,1641,0,1,885,0,14463
1,1926,1316,644,672,0,0,369,644,8969
3,2003,2696,2846,2696,220,0,958,0,14300
2,1958,2279,585,2279,274,0,461,0,19958
1,1957,1788,1104,1104,120,0,304,684,11250
2,1965,1324,1088,1324,0,0,440,0,8658
2,1900,1627,797,830,192,1,420,797,9142
2,1954,1293,1178,1293,280,1,452,0,11027
2,2005,1844,1844,1844,165,0,620,0,10994
2,2005,1971,1113,1113,0,0,689,858,9675
1,1954,1172,1172,1172,240,1,366,0,9525
3,2003,2690,1765,1804,268,0,795,886,16451
1,1916,952,952,952,0,0,192,0,8854
1,1958,1215,1215,1215,0,1,297,0,12400
3,2006,1939,1095,1095,192,0,1053,844,10728
1,1994,990,990,990,66,1,440,0,9757
1,1906,1469,756,756,57,1,216,713,10320
2,1961,1144,1144,1144,0,1,456,0,7875
3,1925,2640,2171,1392,631,0,1008,1248,22136
3,2007,2574,1482,1482,0,0,868,1092,9588
1,1920,1216,565,565,0,0,355,651,5520
2,2003,1986,847,847,120,0,434,1139,8396
1,1956,1202,1202,1202,0,1,304,0,8750
2,2001,1786,920,920,0,0,608,866,11250
2,2007,1780,920,920,0,0,612,860,12852
2,2000,1512,756,756,0,1,440,756,2980
2,1923,1603,784,819,0,0,599,784,9650
2,2005,1368,1368,1368,132,0,474,0,6955
2,1975,1055,1057,1055,0,0,440,0,2280
3,1998,2006,1982,2006,144,0,938,0,11675
1,1931,1818,1040,1226,0,0,240,592,7758
2,1998,1633,932,932,0,0,460,701,11184
2,2005,1310,1310,1310,0,0,400,0,8767
2,1926,960,850,960,0,1,576,0,6978
2,1989,1982,807,1175,0,0,575,807,11287
2,1998,1465,789,789,0,0,393,676,8402
2,1971,2365,1803,2365,200,0,551,0,17597
2,2000,1630,1630,1630,74,0,451,0,9750
2,1977,1208,1208,1208,198,0,546,0,11250
2,2001,2161,1257,1290,0,0,570,871,10400
2,1982,816,816,816,0,1,816,0,6600
3,2006,1776,1732,1776,0,0,712,0,15306
1,1983,816,816,816,315,1,264,0,6490
0,1920,1027,931,1027,0,0,0,0,5400
2,1937,1131,907,1131,0,1,672,0,5925
0,1895,1991,957,1034,0,1,0,957,8250
1,1920,438,290,438,0,1,246,0,8400
2,2007,1338,1338,1338,0,1,598,0,8640
2,1970,1302,630,630,0,1,440,672,2016
1,1958,792,792,792,0,1,366,0,5470
2,1935,1873,608,983,0,0,786,890,9670
4,1880,2640,1240,1320,181,0,864,1320,11700
3,2007,2161,1582,1610,178,0,789,551,10562
2,1962,1224,0,1224,0,1,462,0,9842
1,1949,1716,768,1148,0,0,281,568,11409
3,2007,1718,1705,1718,208,0,826,0,10637
2,1971,868,768,868,138,1,576,0,8425
2,1970,1277,1277,1277,0,0,526,0,10628
2,1998,1661,1649,1661,0,1,598,0,12137
2,2004,1709,970,970,0,1,380,739,2522
